Ben Hilfenhaus,4
Raju Bhatkal,4
Tabraiz Shamsi,4
Love Ablish,4
Trent Boult,4
Adam Milne,4
RV Pawar,4
P Amarnath,4
Aavishkar Salvi,4
RR Bose,4
YA Abdulla,4
Kedar Devdhar,4
Abrar Kazi,4
Krishmar Santokie,4
Deepak Chahar,4
Pat Cummins,4
Ishwar Pandey,4
Anand Rajan,4
TP Sudhindra,4
P Prasanth,4
Kuldeep Yadav,4
Nayan Doshi,4
RA Shaikh,4
Vijay Shankar,4
Andre Nel,4
Brett Geeves,4
Abdur Razzak,4
John Hastings,4
Adam Zampa,4
Sarabjit Ladda,4
P Dharmani,4
Pawan Suyal,4
