batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
AM Nayar,SB Jakati,0.25,0.25,0.125,0.0,0.125,0.25,0.0,0,5,8
SR Tendulkar,SB Jakati,0.32653061224489793,0.4489795918367347,0.061224489795918366,0.0,0.16326530612244897,0.0,0.02040816326530612,0,5,49
AM Nayar,SK Raina,0.5,0.4,0.0,0.0,0.0,0.1,0.0,0,5,10
Harbhajan Singh,SK Raina,0.2,0.8,0.0,0.0,0.0,0.0,0.2,3,5,5
SR Tendulkar,SK Raina,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0,5,14
AT Rayudu,SB Jakati,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0,5,7
AT Rayudu,SK Raina,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,5,7
SS Tiwary,SB Jakati,0.4444444444444444,0.4444444444444444,0.05555555555555555,0.0,0.05555555555555555,0.0,0.1111111111111111,0,5,18
AT Rayudu,R Ashwin,0.35294117647058826,0.5294117647058824,0.0196078431372549,0.0,0.058823529411764705,0.0392156862745098,0.0784313725490196,0,5,51
JP Duminy,R Ashwin,0.20689655172413793,0.5862068965517241,0.1724137931034483,0.0,0.034482758620689655,0.0,0.0,3,5,29
AT Rayudu,M Muralitharan,0.2608695652173913,0.5652173913043478,0.17391304347826086,0.0,0.0,0.0,0.0,0,5,23
JP Duminy,M Muralitharan,0.40540540540540543,0.43243243243243246,0.05405405405405406,0.0,0.0,0.10810810810810811,0.02702702702702703,3,5,37
KA Pollard,DE Bollinger,0.375,0.0,0.125,0.0,0.25,0.25,0.0,0,5,8
AT Rayudu,JA Morkel,0.46875,0.3125,0.03125,0.0,0.1875,0.0,0.0,0,5,32
KA Pollard,JA Morkel,0.625,0.25,0.0,0.0,0.125,0.0,0.125,0,5,8
Z Khan,DE Bollinger,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0,5,11
CRD Fernando,DE Bollinger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5,2
SL Malinga,DE Bollinger,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5,1
M Vijay,RJ Harris,0.5,0.275,0.05,0.025,0.15,0.0,0.025,0,5,40
ML Hayden,RJ Harris,0.5789473684210527,0.2631578947368421,0.0,0.0,0.15789473684210525,0.0,0.05263157894736842,0,5,19
ML Hayden,RP Singh,0.4642857142857143,0.21428571428571427,0.03571428571428571,0.0,0.21428571428571427,0.07142857142857142,0.0,0,0,28
M Vijay,RP Singh,0.475,0.175,0.075,0.025,0.175,0.075,0.05,0,0,40
ML Hayden,DR Smith,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0,0,7
M Vijay,DR Smith,0.3076923076923077,0.38461538461538464,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0,0,13
M Vijay,RG Sharma,0.4,0.2,0.0,0.2,0.2,0.0,0.2,0,0,5
ML Hayden,RG Sharma,0.5,0.25,0.05,0.0,0.1,0.1,0.0,0,0,20
ML Hayden,Shoaib Ahmed,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0,0,6
MS Dhoni,Shoaib Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,0,10
M Vijay,PP Ojha,0.3939393939393939,0.45454545454545453,0.09090909090909091,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0,0,33
MS Dhoni,PP Ojha,0.44,0.4,0.08,0.0,0.03,0.05,0.06,3,0,100
MS Dhoni,DR Smith,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,0,10
M Vijay,TL Suman,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0,0,5
MS Dhoni,TL Suman,0.1,0.8,0.0,0.0,0.1,0.0,0.0,3,0,10
SK Raina,TL Suman,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0,0,7
SK Raina,Shoaib Ahmed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,3
SK Raina,PP Ojha,0.17777777777777778,0.5555555555555556,0.13333333333333333,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.044444444444444446,0,0,45
MS Dhoni,RJ Harris,0.08333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.08333333333333333,3,0,12
SK Raina,RJ Harris,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0,0,7
MS Dhoni,RP Singh,0.37142857142857144,0.4,0.05714285714285714,0.0,0.14285714285714285,0.02857142857142857,0.02857142857142857,3,0,35
SK Raina,RP Singh,0.4444444444444444,0.4444444444444444,0.0,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0,0,27
JA Morkel,RJ Harris,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0,2
JA Morkel,RP Singh,0.3,0.45,0.05,0.05,0.1,0.05,0.05,0,0,20
AC Gilchrist,JA Morkel,0.5714285714285714,0.14285714285714285,0.02857142857142857,0.0,0.2,0.05714285714285714,0.08571428571428572,0,0,35
VVS Laxman,JA Morkel,0.8181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0,0,11
HH Gibbs,S Tyagi,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0,0,3
RG Sharma,S Tyagi,0.7272727272727273,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0,0,11
DR Smith,JA Morkel,0.4444444444444444,0.08333333333333333,0.16666666666666666,0.0,0.25,0.05555555555555555,0.027777777777777776,0,0,36
DR Smith,S Tyagi,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0,0,2
RG Sharma,JA Morkel,0.42857142857142855,0.47619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.14285714285714285,0,0,21
RG Sharma,L Balaji,0.5,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.045454545454545456,0.09090909090909091,0,0,22
DR Smith,L Balaji,0.6153846153846154,0.28205128205128205,0.02564102564102564,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0,0,39
DR Smith,SB Jakati,0.30434782608695654,0.4782608695652174,0.08695652173913043,0.0,0.043478260869565216,0.08695652173913043,0.08695652173913043,0,0,23
RG Sharma,SB Jakati,0.3181818181818182,0.45454545454545453,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0,0,22
RG Sharma,M Muralitharan,0.35294117647058826,0.5294117647058824,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0,0,17
DR Smith,M Muralitharan,0.5555555555555556,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0,0,9
TL Suman,SB Jakati,0.4375,0.4375,0.0625,0.0,0.0625,0.0,0.0625,0,0,16
TL Suman,M Muralitharan,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0,0,5
Y Venugopal Rao,M Muralitharan,0.39285714285714285,0.5357142857142857,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0,0,28
Y Venugopal Rao,SB Jakati,0.375,0.4583333333333333,0.041666666666666664,0.0,0.0,0.125,0.041666666666666664,0,0,24
RJ Harris,SB Jakati,0.375,0.25,0.125,0.0,0.125,0.125,0.125,0,0,8
TL Suman,SK Raina,0.1875,0.3125,0.25,0.0,0.1875,0.0625,0.0,0,0,16
RP Singh,SB Jakati,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,0,2
RP Singh,M Muralitharan,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,2,0,7
Shoaib Ahmed,SK Raina,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0,2
PP Ojha,SK Raina,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,4
AM Nayar,AR Patel,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,3
AM Rahane,AR Patel,0.26666666666666666,0.5666666666666667,0.1,0.0,0.06666666666666667,0.0,0.0,0,0,30
AM Rahane,MG Johnson,0.38181818181818183,0.2727272727272727,0.05454545454545454,0.01818181818181818,0.2545454545454545,0.01818181818181818,0.03636363636363636,0,0,55
AM Nayar,MG Johnson,0.4,0.4,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0,0,15
AM Rahane,P Awana,0.36,0.32,0.12,0.0,0.16,0.04,0.0,0,0,25
AM Nayar,P Awana,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0,0,12
SV Samson,L Balaji,0.5,0.25,0.0,0.0,0.125,0.125,0.0,0,0,8
SV Samson,P Awana,0.26666666666666666,0.4,0.06666666666666667,0.0,0.2,0.06666666666666667,0.06666666666666667,0,0,15
SV Samson,MG Johnson,0.35294117647058826,0.47058823529411764,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0,0,17
AM Nayar,M Kartik,0.4666666666666667,0.4666666666666667,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0,0,15
SR Watson,M Kartik,0.3269230769230769,0.3269230769230769,0.057692307692307696,0.019230769230769232,0.15384615384615385,0.11538461538461539,0.0,0,0,52
SV Samson,M Kartik,0.10526315789473684,0.5789473684210527,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.0,0,0,19
SV Samson,AR Patel,0.25,0.7083333333333334,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0,0,24
SR Watson,AR Patel,0.6206896551724138,0.2413793103448276,0.0,0.0,0.10344827586206896,0.034482758620689655,0.1724137931034483,0,0,29
SR Watson,L Balaji,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0,0,14
SR Watson,P Awana,0.3157894736842105,0.3157894736842105,0.0,0.0,0.2631578947368421,0.10526315789473684,0.05263157894736842,0,0,19
STR Binny,AR Patel,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0,0,7
STR Binny,M Kartik,0.2,0.3,0.2,0.0,0.1,0.2,0.0,0,0,10
STR Binny,MG Johnson,0.8421052631578947,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0,0,19
SPD Smith,MG Johnson,0.6923076923076923,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0,0,13
SPD Smith,P Awana,0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,7
JP Faulkner,P Awana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
SPD Smith,L Balaji,0.2,0.3,0.1,0.0,0.4,0.0,0.0,0,0,10
JP Faulkner,MG Johnson,0.5555555555555556,0.18518518518518517,0.037037037037037035,0.0,0.1111111111111111,0.1111111111111111,0.0,0,0,27
JP Faulkner,L Balaji,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0,0,7
CA Pujara,KW Richardson,0.25,0.625,0.0,0.0,0.125,0.0,0.0,0,0,8
V Sehwag,KW Richardson,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0,0,11
