,batsman,bowler,0,1,2,3,4,6,notout,balls
24,S Dhawan,R Ashwin,0.42028985507246375,0.8985507246376812,0.9710144927536232,0.9710144927536232,1.0,1.0,0.9855072463768116,69
25,SR Tendulkar,DE Bollinger,0.5769230769230769,0.9230769230769229,0.9230769230769229,0.9230769230769229,0.9999999999999998,0.9999999999999998,0.9230769230769231,26
26,S Dhawan,DE Bollinger,0.5294117647058824,0.8235294117647058,0.8235294117647058,0.8235294117647058,1.0,1.0,0.9411764705882353,17
27,AM Nayar,DE Bollinger,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,3
28,SR Tendulkar,R Ashwin,0.3125,0.78125,0.84375,0.84375,1.0,1.0,0.96875,32
29,AM Nayar,R Ashwin,0.5,0.75,0.75,0.75,1.0,1.0,1.0,4
30,SR Tendulkar,JA Morkel,0.52,0.7,0.72,0.72,0.94,1.0,1.0,50
31,AM Nayar,JA Morkel,0.3333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,1.0,6
32,SR Tendulkar,M Muralitharan,0.3333333333333333,0.7037037037037037,0.8518518518518519,0.8518518518518519,0.962962962962963,1.0,1.0,27
33,AM Nayar,M Muralitharan,0.4,0.88,0.96,0.96,1.0,1.0,1.0,25
34,AM Nayar,SB Jakati,0.25,0.5,0.625,0.625,0.75,1.0,1.0,8
35,SR Tendulkar,SB Jakati,0.32653061224489793,0.7755102040816326,0.836734693877551,0.836734693877551,0.9999999999999999,0.9999999999999999,0.9795918367346939,49
36,AM Nayar,SK Raina,0.5,0.9,0.9,0.9,0.9,1.0,1.0,10
37,Harbhajan Singh,SK Raina,0.2,1.0,1.0,1.0,1.0,1.0,0.8,5
38,SR Tendulkar,SK Raina,0.42857142857142855,0.8571428571428571,0.9285714285714285,0.9285714285714285,0.9999999999999999,0.9999999999999999,0.9285714285714286,14
39,AT Rayudu,SB Jakati,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,7
40,AT Rayudu,SK Raina,0.2857142857142857,0.5714285714285714,0.7142857142857142,0.7142857142857142,0.857142857142857,0.9999999999999998,0.8571428571428572,7
41,SS Tiwary,SB Jakati,0.4444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,1.0,0.8888888888888888,18
42,AT Rayudu,R Ashwin,0.35294117647058826,0.8823529411764706,0.9019607843137255,0.9019607843137255,0.9607843137254902,1.0,0.9215686274509804,51
43,JP Duminy,R Ashwin,0.20689655172413796,0.7931034482758621,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,29
44,AT Rayudu,M Muralitharan,0.2608695652173913,0.826086956521739,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,23
45,JP Duminy,M Muralitharan,0.40540540540540543,0.8378378378378379,0.891891891891892,0.891891891891892,0.891891891891892,1.0000000000000002,0.9729729729729729,37
46,KA Pollard,DE Bollinger,0.375,0.375,0.5,0.5,0.75,1.0,1.0,8
47,AT Rayudu,JA Morkel,0.46875,0.78125,0.8125,0.8125,1.0,1.0,1.0,32
48,KA Pollard,JA Morkel,0.625,0.875,0.875,0.875,1.0,1.0,0.875,8
